Symbol,Description,GICS sector,Category1,Category2,Category3,Market Cap,Average Volume,Actions,Industry,,,,,,,,,
OMC,Omnicom Group Inc,Communication Services,US Equity,Common stocks,Large cap,"$15,524,134,825 ","1,257,040",Analyze,Advertising Agencies,,,,,,,,,
IPG,Interpublic Group Of Companies Inc,Communication Services,US Equity,Common stocks,Large cap,"$12,696,987,784 ","3,058,404",Analyze,Advertising Agencies,,,,,,,,,
WPP,WPP PLC ADRs,Communication Services,US Equity,ADRs,Large cap,"$11,092,763,841 ","106,285",Analyze,Advertising Agencies,,,,,,,,,
ZD,"Ziff Davis, Inc.",Communication Services,US Equity,Common stocks,Mid cap,"$4,211,847,087 ","264,580",Analyze,Advertising Agencies,,,,,,,,,
CRTO,Criteo SA ADRs,Information Technology,US Equity,ADRs,Small cap,"$1,587,758,717 ","305,458",Analyze,Advertising Agencies,,,,,,,,,
IAS,Integral Ad Science Holding LLC,Communication Services,US Equity,Common stocks,Small cap,"$1,445,986,734 ","451,324",Analyze,Advertising Agencies,,,,,,,,,
MGNI,"Magnite, Inc.",Communication Services,US Equity,Common stocks,Small cap,"$1,424,548,778 ","3,051,807",Analyze,Advertising Agencies,,,,,,,,,
STGW,Stagwell Inc. - Class A,Communication Services,US Equity,Common stocks,Small cap,"$957,350,760 ","440,530",Analyze,Advertising Agencies,,,,,,,,,
DLX,Deluxe Corp,Industrials,US Equity,Common stocks,Small cap,"$814,841,099 ","193,656",Analyze,Advertising Agencies,,,,,,,,,
CMPR,Cimpress N.V,Industrials,US Equity,Common stocks,Small cap,"$765,466,714 ","117,753",Analyze,Advertising Agencies,,,,,,,,,
BOC,Boston Omaha Corporation Class A,Communication Services,US Equity,Common stocks,Small cap,"$764,189,931 ","71,901",Analyze,Advertising Agencies,,,,,,,,,
QNST,Quinstreet Inc,Communication Services,US Equity,Common stocks,Small cap,"$741,309,609 ","211,067",Analyze,Advertising Agencies,,,,,,,,,
ADV,Advantage Solutions Inc.  - Class A,Communication Services,US Equity,Common stocks,Small cap,"$696,912,127 ","621,557",Analyze,Advertising Agencies,,,,,,,,,
TRMR,Tremor International Ltd. ADRs,Communication Services,US Equity,ADRs,Small cap,"$584,841,628 ","187,124",Analyze,Advertising Agencies,,,,,,,,,
CCO,Clear Channel Outdoor Holdings Inc,Communication Services,US Equity,Common stocks,Small cap,"$480,815,967 ","2,033,157",Analyze,Advertising Agencies,,,,,,,,,
CTV,Innovid Corp.,Communication Services,US Equity,Common stocks,Small cap,"$334,126,448 ","187,185",Analyze,Advertising Agencies,,,,,,,,,
QUOT,Quotient Technology Inc,Consumer Discretionary,US Equity,Common stocks,Micro cap,"$298,801,622 ","1,108,650",Analyze,Advertising Agencies,,,,,,,,,
EEX,Emerald Expositions Events Inc,Communication Services,US Equity,Common stocks,Micro cap,"$270,437,864 ","39,515",Analyze,Advertising Agencies,,,,,,,,,
ICLK,iClick Interactive Asia Group Limited ADRs,Communication Services,US Equity,ADRs,Micro cap,"$238,236,119 ","22,819",Analyze,Advertising Agencies,,,,,,,,,
ADTH,"AdTheorent Holding Company, Inc.",Communication Services,US Equity,Common stocks,Micro cap,"$142,519,833 ","104,938",Analyze,Advertising Agencies,,,,,,,,,
XNET,Xunlei Limited ADRs,Information Technology,US Equity,ADRs,Micro cap,"$133,656,992 ","291,497",Analyze,Advertising Agencies,,,,,,,,,
SCOR,"Comscore, Inc.",Communication Services,US Equity,Common stocks,Micro cap,"$115,932,107 ","425,987",Analyze,Advertising Agencies,,,,,,,,,
TSQ,Townsquare Media Inc Class A,Communication Services,US Equity,Common stocks,Micro cap,"$93,731,976 ","31,344",Analyze,Advertising Agencies,,,,,,,,,
FLNT,Fluent Inc.,Communication Services,US Equity,Common stocks,Micro cap,"$89,545,280 ","89,298",Analyze,Advertising Agencies,,,,,,,,,
